"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted"
"386",62.119999,190.350006,43.708363,NA
"387",62.029999,192.660004,44.74728,NA
"388",62.18,190.789993,44.924538,NA
"389",61.790001,187.339996,43.900394,NA
"390",61.939999,187.25,44.776825,NA
"391",63.59,187.039993,45.288898,NA
"392",61.009998,189,41.655151,NA
"393",63.57,197.979996,42.511887,NA
"394",64.220001,194.179993,42.46265,26.700001
"395",61.950001,189.419998,41.241554,24.6
"396",57.709999,184.820007,39.400059,22.5
"397",57.849998,187.229996,40.394665,22.59
"398",57.73,185.270004,40.41436,20.309999
"399",57.060001,182.600006,39.449299,19.66
"400",54.810001,180.839996,39.784119,19.07
"401",56.150002,178.619995,39.311432,20.16
"402",58.040001,179.919998,40.266644,20.889999
"403",56.869999,177.520004,40.680244,20.27
"404",56.529999,177.190002,41.212009,20
"405",55.310001,180.009995,41.635456,19.51
"406",52.720001,177.679993,39.892437,19.440001
"407",49.639999,172.529999,36.386711,19
"408",48.16,169.830002,35.628448,17.700001
"409",49.68,171.990005,36.977562,19.040001
"410",50.700001,172.779999,37.568417,19
"411",51.68,176.289993,38.700886,18.950001
"412",54.709999,177.919998,39.872746,18.75
"413",55.41,177.850006,43.289845,18.4
"414",54.040001,172.229996,43.319389,18.309999
"415",53.66,174.229996,43.171673,17.219999
"416",56.900002,180.649994,46.194874,19.17
"417",57.029999,178.190002,46.933437,19.540001
"418",56.959999,178.5,46.834965,21.15
"419",53.860001,174.600006,44.146584,17.99
"420",53.389999,175.009995,45.584324,19.35
"421",52.310001,170.440002,46.519844,20.75
"422",50.290001,164.229996,44.540482,18.799999
"423",49.150002,159.869995,43.329235,19.110001
"424",49.27,162.369995,44.461704,19.57
"425",46.34,156.360001,42.147526,19.74
"426",45.330002,157.460007,41.950577,23.57
"427",45.709999,161.460007,43.260303,23.040001
"428",47.849998,165.529999,46.155483,29.959999
"429",45.970001,164.740005,46.647858,26.34
"430",44.59,158.889999,45.30859,24.360001
"431",44.41,156.649994,47.514446,22.639999
"432",46.5,162.630005,47.002373,23
"433",48.220001,165.880005,45.800968,24.65
"434",48.59,164.630005,45.732037,25.6
"435",46.709999,163.160004,44.629112,26.49
"436",47.330002,164.25,45.476002,26.940001
"437",47.990002,165.399994,45.249508,26.059999
"438",47.540001,166.320007,43.545883,26.33
"439",48.580002,164.759995,43.132282,26.290001
"440",47.009998,162,43.368626,27.690001
"441",44.880001,160.229996,41.162773,25.66
"442",44.529999,162.369995,41.743778,26.280001
"443",42.32,156.130005,38.513783,22.700001
"444",41.25,154.630005,38.523628,21.780001
"445",39.529999,151.139999,37.440399,21.190001
"446",39.200001,146.940002,37.105583,22.34
"447",36.310001,138.289993,34.525524,20.33
"448",36.880001,141.899994,34.968662,20.82
"449",40.18,147.289993,37.076038,21.620001
"450",40,144.160004,37.440399,21.110001
"451",41.439999,149.600006,37.016953,20.809999
"452",40.860001,148.139999,33.97406,19.99
"453",39.470001,142.020004,32.142414,18.799999
"454",39.669998,142.929993,29.995647,18.68
"455",41.610001,148.800003,31.590954,19.950001
"456",41.25,146.649994,31.364458,18.51
"457",39.259998,139.610001,29.680525,17.32
"458",40.880001,144.600006,30.222141,18.559999
"459",39.790001,142.869995,30.350159,18.200001
"460",38.099998,133.380005,29.650984,17.370001
"461",38.150002,136.330002,30.172903,17.200001
"462",39.810001,142.279999,33.058235,17.65
"463",44.919998,151.25,35.923874,20.34
"464",45.279999,147.589996,34.870186,20.370001
"465",44.080002,144.639999,35.451191,20.049999
"466",44.580002,147.440002,35.224697,19.639999
"467",46.16,152.5,36.081436,20.719999
"468",43.09,148.990005,34.466438,19.280001
"469",40.189999,144.850006,32.152264,18.309999
"470",31.879999,142.820007,31.02964,17.219999
"471",33.459999,146.979996,31.236439,17.15
"472",32.490002,150.440002,32.378757,19.15
"473",32.709999,156.220001,33.767262,20.379999
"474",32.75,154.100006,32.457535,20.83
"475",31.08,149.529999,30.123667,19.84
"476",30.129999,145.979996,30.163055,23.139999
"477",32.439999,149.410004,31.206898,23.66
"478",32.57,150.330002,31.187202,22.5
"479",33.529999,156.009995,29.58205,21.219999
"480",34.029999,156.460007,29.25708,22.450001
"481",34.23,159.339996,29.562355,22.9
"482",33.919998,156.279999,29.887325,22.440001
"483",35.27,160.860001,30.87208,22.959999
"484",36.450001,163.740005,32.575706,23.969999
"485",36.400002,158.339996,31.206898,23.32
"486",35.23,155.830002,26.63763,22.540001
"487",33.540001,153.059998,24.195438,20.610001
"488",33.939999,151.429993,23.890165,20.110001
"489",34.900002,151.830002,24.205286,20.809999
"490",36.560001,151.5,25.190041,22.65
"491",36.869999,151.479996,25.071871,22.58
"492",36.150002,149,24.835529,23.1
"493",33.099998,143.979996,23.919708,22.18
"494",32.470001,140.820007,24.116657,23
"495",30.24,137.139999,23.10236,22.32
"496",29.41,135.110001,22.98419,21.49
"497",28.23,132,23.023579,21.129999
"498",29.23,131.889999,23.319006,21.299999
"499",30.030001,138,23.850773,21.51
"500",30.33,138.449997,23.998487,21.9
"501",30.530001,139.089996,24.037878,22.059999
"502",29.209999,137.070007,23.387939,22.440001
"503",29.790001,136.699997,24.451475,22.209999
"504",28.370001,130.600006,23.663671,21.52
"505",30.32,139.75,25.022633,22.690001
"506",31.530001,143.100006,25.820284,23.209999
"507",32.029999,146.789993,26.194492,24
"508",33,151.919998,26.736107,25.540001
"509",31.809999,151.690002,26.588394,26.379999
"510",31.52,151.320007,26.568699,26.16
"511",29.709999,149.270004,26.164949,24.370001
"512",30.299999,150.880005,26.52931,24.41
"513",30.82,154.839996,27.336809,25.139999
"514",31.33,155.970001,28.232935,24.540001
"515",33.290001,157.020004,29.798697,24.99
"516",32.41,152.149994,28.528362,25.17
"517",32.419998,152.029999,27.957203,26.67
"518",32.889999,155.860001,29.079826,28.74
"519",34.439999,159.210007,30.576653,29.5
"520",34.299999,158.919998,29.58205,29
"521",33.740002,156.880005,28.528362,30.190001
"522",34.41,166.820007,29.296471,28.82
"523",35.799999,168.490005,29.966105,29.209999
"524",35.200001,167.970001,29.86763,28.959999
"525",35.900002,166.699997,29.316166,29.93
"526",36.200001,171.830002,30.143362,30.33
"527",36.369999,171.520004,29.670677,28
"528",34.110001,166.960007,28.25263,26.51
"529",34.040001,167.360001,28.764702,25.950001
"530",34.130001,167.449997,29.217691,26.74
"531",34.580002,168.710007,30.231989,26.950001
"532",34.970001,169.399994,30.852385,27.01
"533",34.84,168.380005,30.753908,27.030001
"534",33.139999,166.149994,29.58205,27.52
"535",33.959999,170.179993,31.866684,29.09
"536",35.639999,170.710007,31.334915,29.33
"537",34.580002,171.660004,31.128117,28.5
"538",36.98,176.919998,32.634792,29.379999
"539",38.509998,183.25,34.801254,29.01
"540",38.52,183.539993,34.023296,29.139999
"541",37.790001,184.580002,34.082382,28.559999
"542",37.450001,183.029999,32.664333,29.940001
"543",37.060001,183.880005,32.772655,29.99
"544",38.599998,187.25,33.353661,31.139999
"545",39.439999,185,34.643692,30.780001
"546",38.889999,184.169998,34.732323,29.99
"547",34.939999,177.320007,32.221195,29.09
"548",34.41,175.029999,32.270432,28.459999
"549",35.029999,180.410004,32.053787,29.93
"550",35.23,180.630005,35.884483,30.43
"551",35.93,180.699997,37.213905,25.120001
"552",35.950001,180.360001,36.652596,24.389999
"553",37.27,180.970001,37.913082,24.52
"554",38.290001,181.830002,38.267593,25.83
"555",38.98,182.139999,37.952473,25.26
"556",36.810001,181.279999,37.489635,24.610001
"557",37.990002,181.5,37.913082,24.83
"558",36.650002,176.259995,36.563965,23.5
"559",36.919998,178.770004,37.588108,23.34
"560",37.830002,178.080002,37.026798,23.360001
"561",37.82,177.029999,36.741222,23.610001
"562",39.130001,177.729996,37.016953,23.32
"563",41.540001,182.449997,37.657047,24.799999
"564",42,180.889999,40.187866,24.67
"565",42,181.740005,39.272045,24.459999
"566",44.25,178.320007,40.049999,23.51
"567",41.049999,181.070007,39.759998,22.6
"568",42.849998,185.350006,40.009998,21.6
"569",42.48,186.5,39.549999,21.83
"570",42.860001,187.190002,38.98,22.35
"571",42.869999,186.190002,38.029999,21.950001
"572",41.860001,184.979996,37.200001,21.67
"573",41.75,188.910004,38.110001,21.690001
"574",40.400002,183.070007,35.990002,22.01
"575",40.959999,185.779999,36.23,22.5
"576",41.66,187.550003,36.040001,23.02
"577",41.77,186.940002,35.669998,23.549999
"578",43.48,185.380005,36.259998,24
"579",44.610001,187.289993,37.52,24.43
"580",44.5,185.669998,36.849998,23.940001
"581",44.59,187.880005,36.869999,23.07
"582",45.259998,187.089996,36.869999,21.92
"583",47.529999,186.940002,34.360001,22.280001
"584",48.5,185.570007,35.07,22.23
"585",47.91,189.309998,35.189999,23.299999
"586",47.630001,190.389999,35.639999,23.129999
"587",48.950001,195.210007,36.849998,23.959999
"588",46.130001,188.240005,35.580002,23.74
"589",43.450001,181.429993,33.150002,22.82
"590",43.150002,179.589996,32.810001,23.190001
"591",42.790001,179.039993,32.290001,23.129999
"592",42.349998,178,28.969999,22.4
"593",39.169998,170.009995,27.83,20.75
"594",41.189999,174.839996,28.809999,22.15
"595",41.689999,177.600006,29.879999,22.030001
"596",41.630001,175.570007,29.610001,22.860001
"597",39.639999,169.570007,27.92,22.700001
"598",37.59,160.649994,27.370001,20.780001
"599",38.5,163.429993,27.860001,21.52
"600",38.279999,158.830002,27.370001,20.459999
"601",36.610001,156,26.639999,20.530001
"602",36.630001,155,26.02,20.280001
"603",37.93,154.809998,27.309999,20.23
"604",38.830002,152.479996,28.25,19.98
"605",39.490002,151.070007,28.030001,19.65
"606",39.23,149.259995,27.57,19.42
"607",37.709999,149.910004,27.49,19.030001
"608",40.5,154.149994,29.68,19.280001
"609",40,151.649994,29.6,19.129999
"610",39.98,151.5,29.75,19.370001
"611",42.040001,154.229996,30.540001,19.780001
"612",42.509998,159.850006,31.57,20.200001
"613",43.09,162.649994,31.889999,20.049999
"614",43.59,160.039993,31.610001,20.41
"615",45.009998,160.330002,31.67,20.469999
"616",44.59,158.100006,31.030001,20.51
"617",44.66,159.910004,30.879999,20.59
"618",47.220001,165.509995,32.759998,20.889999
"619",48.91,165.460007,32.849998,20.959999
"620",50.630001,168.25,33.810001,20.950001
"621",49.41,167.550003,33.720001,21.049999
"622",48.639999,168.100006,34.16,20.75
"623",46.889999,165.800003,33.310001,20.540001
"624",48.189999,168.990005,35.139999,20.450001
"625",49.549999,170.899994,36,20.76
"626",49.860001,169.449997,35.799999,20.629999
"627",53.599998,175.050003,36.73,20.639999
"628",54.919998,175.449997,36.77,20.309999
"629",54.700001,174.669998,35.240002,20.09
"630",54.240002,173.300003,35.02,20.290001
"631",52.900002,168.449997,34.380001,20.040001
"632",53.490002,168.800003,34.580002,20.48
"633",53.060001,166.929993,34.689999,19.84
"634",52.93,166.550003,34.279999,19.34
"635",53.02,169.070007,34.439999,19.139999
"636",53.540001,173.5,34.389999,19.35
"637",53.189999,174.190002,33.689999,20.120001
"638",50,174.820007,32.299999,19.969999
"639",50.02,172.800003,33.450001,20.190001
"640",51.259998,172.990005,35.060001,20.049999
"641",51.549999,174,34.57,20.139999
"642",52.59,178.089996,35.970001,20.99
"643",53.73,178.669998,35.669998,20.93
"644",49.610001,177.289993,35.759998,21.51
"645",49.91,178.740005,34.799999,21.610001
"646",48.68,177.020004,34.380001,21.91
"647",49.279999,174.100006,34.470001,21.950001
"648",49.610001,173.110001,33.970001,22.27
"649",46.060001,165.649994,31.74,22.66
"650",45.360001,161,31.01,22.99
"651",41.669998,153.669998,29.309999,22.17
"652",42.529999,157.429993,29.59,21.959999
"653",41.93,159.169998,29.780001,22.129999
"654",43.560001,162.220001,31.280001,22.809999
"655",43.919998,159.119995,31.59,22.6
"656",44.009998,159.309998,31.389999,22.360001
"657",47.029999,164.029999,32.560001,23.780001
"658",44.779999,162.059998,31.27,23.559999
"659",45.330002,166.970001,31.969999,23.870001
"660",46.830002,174.600006,33.09,25.01
"661",49.400002,178.279999,34.459999,25.57
"662",50.080002,177.210007,33,25.959999
"663",43.77,175.240005,33.459999,30.110001
"664",42.259998,171.910004,32.889999,30.59
"665",40.400002,164.539993,31.83,29.49
"666",41,165.899994,32.73,30.610001
"667",42.16,166.199997,33.189999,30.870001
"668",42.779999,167.479996,34.93,30.93
"669",45.040001,172.809998,35.779999,33.610001
"670",45.759998,175.029999,36.779999,32.77
"671",44.639999,172.410004,36.18,33.25
"672",45.709999,174.330002,33.810001,34
"673",47.189999,178.940002,36.5,34.869999
"674",48.57,176.690002,36.110001,34.98
"675",48.099998,177.779999,36.290001,34.98
"676",45.880001,174.990005,35.27,34.849998
"677",46.700001,176.089996,35.619999,36.669998
"678",47.029999,178.240005,34.610001,36.16
"679",47.830002,179.169998,35.509998,35.900002
"680",48.439999,177.070007,35.5,34.73
"681",47.75,179,35.189999,35.43
"682",47.939999,180,35.490002,34.369999
"683",47.869999,180.460007,36.360001,34.619999
"684",46.84,182.509995,35.279999,34.080002
"685",45.25,176.979996,34.720001,33.82
"686",42.07,171.550003,32.779999,30.99
"687",43.75,176.660004,33.389999,32.25
"688",43.830002,175,33.139999,32.650002
"689",42.48,165.979996,31.219999,31.280001
"690",42.700001,167.229996,30.98,32.220001
"691",42.740002,165.149994,31.450001,32.75
"692",42.029999,165.770004,32.599998,32.59
"693",43.799999,169.479996,33.34,32.950001
"694",43.970001,170.339996,33.400002,33.349998
"695",43.91,168.320007,32.959999,31.67
"696",40.700001,161.929993,31.790001,31.25
"697",42.080002,165.190002,32.380001,31.780001
"698",43.57,166.070007,33.189999,31.940001
"699",45.02,172.940002,33.810001,32.860001
"700",44.68,171.160004,34.139999,32.84
"701",45.5,175.289993,34.5,33.939999
"702",44.59,177.119995,34.990002,33.740002
"703",42.07,176.850006,34.59,34.200001
"704",41,169.130005,33.07,33.380001
"705",41.650002,173.520004,34.389999,34
"706",41.09,169.889999,33.48,34.369999
"707",41.259998,169.919998,33.470001,35.5
"708",41.43,172.550003,33.959999,39.959999
"709",43.52,174.309998,33.98,40.84
"710",44.59,178.679993,34.790001,42.580002
"711",43.889999,176.889999,34.150002,40.5
"712",43.91,177.529999,33.639999,40.880001
"713",43.52,176.669998,33.52,40.880001
"714",43.689999,176.460007,34.639999,41.490002
"715",44.57,179.690002,38.02,42.529999
"716",42.450001,182,37.43,43.529999
"717",42,184.160004,37.220001,43.490002
"718",42.450001,186.660004,39.16,43.310001
"719",42.48,187.160004,38.799999,43.23
"720",43.48,186.710007,38.799999,41.919998
"721",44.5,186.970001,38.299999,41.57
"722",43.57,182.479996,37.790001,41.689999
"723",43.41,182.800003,37.07,41.32
"724",44.619999,185.490005,38.34,42.759998
